Date,Price,Open,High,Low,Vol.,Change %
10/18/2021,"3,747.62","3,849.34","3,892.36","3,685.35",401.93K,-2.52%
10/17/2021,"3,844.63","3,829.47","3,917.62","3,666.11",368.80K,0.43%
10/16/2021,"3,828.25","3,872.68","3,967.73","3,804.46",373.76K,-1.05%
10/15/2021,"3,868.99","3,790.95","3,906.54","3,735.10",504.33K,2.08%
10/14/2021,"3,790.18","3,609.00","3,819.81","3,588.20",481.88K,5.07%
10/13/2021,"3,607.21","3,490.76","3,611.83","3,415.45",393.40K,3.39%
10/12/2021,"3,489.00","3,541.35","3,544.88","3,404.64",409.44K,-1.58%
10/11/2021,"3,545.08","3,413.29","3,622.89","3,382.58",493.49K,3.82%
10/10/2021,"3,414.72","3,573.89","3,599.23","3,409.25",580.26K,-4.46%
10/9/2021,"3,574.23","3,564.99","3,630.33","3,542.00",361.87K,0.42%
10/8/2021,"3,559.24","3,586.69","3,668.14","3,537.94",403.54K,-0.77%
10/7/2021,"3,586.93","3,575.39","3,649.64","3,473.54",486.11K,0.32%
10/6/2021,"3,575.58","3,514.94","3,627.08","3,345.56",618.23K,1.64%
10/5/2021,"3,517.82","3,386.15","3,540.83","3,364.83",393.90K,3.98%
10/4/2021,"3,383.17","3,417.06","3,436.13","3,272.33",485.18K,-0.97%
10/3/2021,"3,416.18","3,390.74","3,485.00","3,347.32",360.64K,0.82%
10/2/2021,"3,388.26","3,310.94","3,468.30","3,258.28",422.51K,2.38%
10/1/2021,"3,309.58","2,998.46","3,328.74","2,972.91",648.73K,10.32%
9/30/2021,"2,999.86","2,849.34","3,047.00","2,837.55",506.99K,5.19%
9/29/2021,"2,851.72","2,803.84","2,949.06","2,785.64",411.25K,1.57%
9/28/2021,"2,807.67","2,920.35","2,969.01","2,791.10",511.61K,-4.04%
9/27/2021,"2,926.02","3,057.50","3,164.20","2,926.02",510.07K,-4.48%
9/26/2021,"3,063.32","2,923.34","3,113.37","2,739.59",703.59K,4.84%
9/25/2021,"2,921.91","2,928.56","2,965.49","2,809.42",491.98K,-0.22%
9/24/2021,"2,928.24","3,152.02","3,157.89","2,740.03",932.09K,-7.12%
9/23/2021,"3,152.67","3,076.23","3,173.14","3,035.15",459.46K,2.43%
9/22/2021,"3,077.76","2,769.40","3,087.92","2,740.58",677.62K,11.31%
